,Ingredient 1,Ingredient 2,Ingredient 3,Effects
4888,Bee 000a9195,Elves Ear 00034d31,Spawn AshDB xx01cd6d,"Ravage Stamina, Resist Fire"
4889,Bee 000a9195,Emperor Parasol MossDB xx01ff75,Fly Amanita 0004da00,"Regenerate Stamina, Fortify Two-handed"
4890,Bee 000a9195,Emperor Parasol MossDB xx01ff75,Histcarp 00106e18,"Restore Stamina, Fortify Magicka"
4891,Bee 000a9195,Emperor Parasol MossDB xx01ff75,Salmon RoeHF xx003545,"Restore Stamina, Fortify Magicka"
4892,Bee 000a9195,Emperor Parasol MossDB xx01ff75,Void Salts 0003ad60,"Damage Health, Weakness to Shock, Fortify Magicka"
4893,Bee 000a9195,Eye of Sabre Cat 0006bc07,,Restore Stamina
4894,Bee 000a9195,Eye of Sabre Cat 0006bc07,Felsaad Tern FeathersDB xx03cd8e,"Restore Health, Restore Stamina"
4895,Bee 000a9195,Eye of Sabre Cat 0006bc07,Fly Amanita 0004da00,"Regenerate Stamina, Restore Stamina"
4896,Bee 000a9195,Eye of Sabre Cat 0006bc07,Giant Lichen 0007e8c1,"Restore Stamina, Weakness to Shock, Ravage Health"
4897,Bee 000a9195,Eye of Sabre Cat 0006bc07,Glow Dust 0003ad73,"Restore Stamina, Damage Magicka"
4898,Bee 000a9195,Eye of Sabre Cat 0006bc07,Hagraven Feathers 0003ad66,"Restore Stamina, Weakness to Shock, Damage Magicka"
4899,Bee 000a9195,Eye of Sabre Cat 0006bc07,Hanging Moss 00057f91,"Restore Stamina, Damage Magicka"
4900,Bee 000a9195,Eye of Sabre Cat 0006bc07,Human Heart 000b18cd,"Restore Stamina, Damage Magicka"
4901,Bee 000a9195,Eye of Sabre Cat 0006bc07,Imp Stool 0004da23,"Restore Health, Restore Stamina"
4902,Bee 000a9195,Eye of Sabre Cat 0006bc07,Jazbay Grapes 0006ac4a,"Restore Stamina, Ravage Health"
4903,Bee 000a9195,Eye of Sabre Cat 0006bc07,Luna Moth Wing 000727df,"Restore Stamina, Damage Magicka"
4904,Bee 000a9195,Eye of Sabre Cat 0006bc07,Mora Tapinella 000ec870,"Regenerate Stamina, Restore Stamina"
4905,Bee 000a9195,Eye of Sabre Cat 0006bc07,Namira's Rot 0004da24,"Restore Stamina, Damage Magicka"
4906,Bee 000a9195,Eye of Sabre Cat 0006bc07,Nordic Barnacle 0007edf5,"Restore Stamina, Damage Magicka"
4907,Bee 000a9195,Eye of Sabre Cat 0006bc07,Rock Warbler Egg 0007e8c8,"Restore Health, Restore Stamina"
4908,Bee 000a9195,Eye of Sabre Cat 0006bc07,Scaly Pholiota 0006f950,"Regenerate Stamina, Restore Stamina"
4909,Bee 000a9195,Eye of Sabre Cat 0006bc07,ScathecrawDB xx017e97,"Restore Stamina, Ravage Stamina, Ravage Health"
4910,Bee 000a9195,Eye of Sabre Cat 0006bc07,Skeever Tail 0003ad6f,"Restore Stamina, Ravage Health"
4911,Bee 000a9195,Eye of Sabre Cat 0006bc07,Spawn AshDB xx01cd6d,"Restore Stamina, Ravage Stamina"
4912,Bee 000a9195,Eye of Sabre Cat 0006bc07,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
4913,Bee 000a9195,Eye of Sabre Cat 0006bc07,Thistle Branch 000134aa,"Restore Stamina, Ravage Stamina"
4914,Bee 000a9195,Eye of Sabre Cat 0006bc07,Trama RootDB xx017008,"Restore Stamina, Weakness to Shock, Damage Magicka"
4915,Bee 000a9195,Eye of Sabre Cat 0006bc07,Void Salts 0003ad60,"Restore Stamina, Weakness to Shock"
4916,Bee 000a9195,Eye of Sabre Cat 0006bc07,Wheat 0004b0ba,"Restore Health, Restore Stamina"
4917,Bee 000a9195,Falmer Ear 0003ad5d,Fly Amanita 0004da00,"Regenerate Stamina, Frenzy"
4918,Bee 000a9195,Falmer Ear 0003ad5d,Hagraven Feathers 0003ad66,"Frenzy, Weakness to Shock"
4919,Bee 000a9195,Falmer Ear 0003ad5d,Mudcrab Chitin 0006bc00,"Resist Poison, Restore Stamina"
4920,Bee 000a9195,Falmer Ear 0003ad5d,Pine Thrush Egg 00023d6f,"Restore Stamina, Fortify Lockpicking"
4921,Bee 000a9195,Falmer Ear 0003ad5d,Thistle Branch 000134aa,"Resist Poison, Ravage Stamina"
4922,Bee 000a9195,Falmer Ear 0003ad5d,Void Salts 0003ad60,"Damage Health, Weakness to Shock"
4923,Bee 000a9195,Felsaad Tern FeathersDB xx03cd8e,Honeycomb 000b08c5,"Restore Stamina, Ravage Stamina, Fortify Light Armor"
4924,Bee 000a9195,Felsaad Tern FeathersDB xx03cd8e,Mudcrab Chitin 0006bc00,"Restore Stamina, Cure Disease"
4925,Bee 000a9195,Felsaad Tern FeathersDB xx03cd8e,Void Salts 0003ad60,"Weakness to Shock, Resist Magic"
4926,Bee 000a9195,Felsaad Tern FeathersDB xx03cd8e,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
4927,Bee 000a9195,Fire Salts 0003ad5e,Fly Amanita 0004da00,"Regenerate Stamina, Resist Fire"
4928,Bee 000a9195,Fire Salts 0003ad5e,Giant Lichen 0007e8c1,"Restore Magicka, Weakness to Shock"
4929,Bee 000a9195,Fire Salts 0003ad5e,Mora Tapinella 000ec870,"Restore Magicka, Regenerate Stamina"
4930,Bee 000a9195,Fire Salts 0003ad5e,Mudcrab Chitin 0006bc00,"Restore Stamina, Resist Fire"
4931,Bee 000a9195,Fire Salts 0003ad5e,Pearl 000854fe,"Restore Magicka, Restore Stamina"
4932,Bee 000a9195,Fire Salts 0003ad5e,Salmon RoeHF xx003545,"Restore Stamina, Regenerate Magicka"
4933,Bee 000a9195,Fire Salts 0003ad5e,Spawn AshDB xx01cd6d,"Ravage Stamina, Resist Fire"
4934,Bee 000a9195,Fly Amanita 0004da00,,Regenerate Stamina
4935,Bee 000a9195,Fly Amanita 0004da00,Giant Lichen 0007e8c1,"Regenerate Stamina, Weakness to Shock"
4936,Bee 000a9195,Fly Amanita 0004da00,Hagraven Feathers 0003ad66,"Regenerate Stamina, Frenzy, Weakness to Shock"
4937,Bee 000a9195,Fly Amanita 0004da00,Hawk Beak 000e7ebc,"Regenerate Stamina, Restore Stamina"
4938,Bee 000a9195,Fly Amanita 0004da00,Histcarp 00106e18,"Regenerate Stamina, Restore Stamina"
4939,Bee 000a9195,Fly Amanita 0004da00,Honeycomb 000b08c5,"Regenerate Stamina, Restore Stamina, Ravage Stamina"
4940,Bee 000a9195,Fly Amanita 0004da00,Human Heart 000b18cd,"Regenerate Stamina, Frenzy"
4941,Bee 000a9195,Fly Amanita 0004da00,Large Antlers 0006bc0a,"Regenerate Stamina, Restore Stamina"
4942,Bee 000a9195,Fly Amanita 0004da00,Mudcrab Chitin 0006bc00,"Regenerate Stamina, Restore Stamina, Resist Fire"
4943,Bee 000a9195,Fly Amanita 0004da00,Netch JellyDB xx01cd72,"Regenerate Stamina, Restore Stamina"
4944,Bee 000a9195,Fly Amanita 0004da00,Orange Dartwing 000bb956,"Regenerate Stamina, Restore Stamina"
4945,Bee 000a9195,Fly Amanita 0004da00,Pearl 000854fe,"Regenerate Stamina, Restore Stamina"
4946,Bee 000a9195,Fly Amanita 0004da00,Pine Thrush Egg 00023d6f,"Regenerate Stamina, Restore Stamina"
4947,Bee 000a9195,Fly Amanita 0004da00,Powdered Mammoth Tusk 0006bc10,"Regenerate Stamina, Restore Stamina"
4948,Bee 000a9195,Fly Amanita 0004da00,Purple Mountain Flower 00077e1e,"Regenerate Stamina, Restore Stamina"
4949,Bee 000a9195,Fly Amanita 0004da00,Sabre Cat Tooth 0006bc04,"Regenerate Stamina, Restore Stamina"
4950,Bee 000a9195,Fly Amanita 0004da00,Salmon RoeHF xx003545,"Regenerate Stamina, Restore Stamina"
4951,Bee 000a9195,Fly Amanita 0004da00,ScathecrawDB xx017e97,"Regenerate Stamina, Ravage Stamina"
4952,Bee 000a9195,Fly Amanita 0004da00,Silverside Perch 00106e1c,"Regenerate Stamina, Restore Stamina"
4953,Bee 000a9195,Fly Amanita 0004da00,Small Pearl 00085500,"Regenerate Stamina, Restore Stamina"
4954,Bee 000a9195,Fly Amanita 0004da00,Snowberries 0001b3bd,"Regenerate Stamina, Resist Fire"
4955,Bee 000a9195,Fly Amanita 0004da00,Spawn AshDB xx01cd6d,"Regenerate Stamina, Ravage Stamina, Resist Fire"
4956,Bee 000a9195,Fly Amanita 0004da00,Thistle Branch 000134aa,"Regenerate Stamina, Ravage Stamina"
4957,Bee 000a9195,Fly Amanita 0004da00,Torchbug Thorax 0004da73,"Regenerate Stamina, Restore Stamina"
4958,Bee 000a9195,Fly Amanita 0004da00,Trama RootDB xx017008,"Regenerate Stamina, Weakness to Shock"
4959,Bee 000a9195,Fly Amanita 0004da00,Troll Fat 0003ad72,"Regenerate Stamina, Fortify Two-handed, Frenzy"
4960,Bee 000a9195,Fly Amanita 0004da00,Void Salts 0003ad60,"Regenerate Stamina, Weakness to Shock"
4961,Bee 000a9195,Fly Amanita 0004da00,Wisp Wrappings 0006bc0e,"Regenerate Stamina, Restore Stamina"
4962,Bee 000a9195,Frost Mirriam 00034d32,Hawk Beak 000e7ebc,"Resist Frost, Restore Stamina"
4963,Bee 000a9195,Frost Mirriam 00034d32,Histcarp 00106e18,"Restore Stamina, Damage Stamina Regen"
4964,Bee 000a9195,Frost Mirriam 00034d32,Large Antlers 0006bc0a,"Restore Stamina, Damage Stamina Regen"
4965,Bee 000a9195,Frost Mirriam 00034d32,Orange Dartwing 000bb956,"Ravage Magicka, Restore Stamina"
4966,Bee 000a9195,Frost Mirriam 00034d32,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Fortify Sneak"
4967,Bee 000a9195,Frost Mirriam 00034d32,Purple Mountain Flower 00077e1e,"Resist Frost, Restore Stamina, Fortify Sneak"
4968,Bee 000a9195,Frost Mirriam 00034d32,ScathecrawDB xx017e97,"Ravage Magicka, Ravage Stamina"
4969,Bee 000a9195,Frost Mirriam 00034d32,Silverside Perch 00106e1c,"Resist Frost, Restore Stamina, Damage Stamina Regen"
4970,Bee 000a9195,Frost Mirriam 00034d32,Small Pearl 00085500,"Resist Frost, Restore Stamina"
4971,Bee 000a9195,Frost Mirriam 00034d32,Spawn AshDB xx01cd6d,"Ravage Magicka, Ravage Stamina"
4972,Bee 000a9195,Frost Mirriam 00034d32,Thistle Branch 000134aa,"Resist Frost, Ravage Stamina"
4973,Bee 000a9195,Frost Salts 0003ad5f,Giant Lichen 0007e8c1,"Restore Magicka, Weakness to Shock"
4974,Bee 000a9195,Frost Salts 0003ad5f,Hagraven Feathers 0003ad66,"Weakness to Shock, Fortify Conjuration"
4975,Bee 000a9195,Frost Salts 0003ad5f,Hawk Beak 000e7ebc,"Resist Frost, Restore Stamina"
4976,Bee 000a9195,Frost Salts 0003ad5f,Mora Tapinella 000ec870,"Restore Magicka, Regenerate Stamina"
4977,Bee 000a9195,Frost Salts 0003ad5f,Pearl 000854fe,"Restore Magicka, Restore Stamina"
4978,Bee 000a9195,Frost Salts 0003ad5f,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Weakness to Fire"
4979,Bee 000a9195,Frost Salts 0003ad5f,Purple Mountain Flower 00077e1e,"Resist Frost, Restore Stamina"
4980,Bee 000a9195,Frost Salts 0003ad5f,Silverside Perch 00106e1c,"Resist Frost, Restore Stamina"
4981,Bee 000a9195,Frost Salts 0003ad5f,Small Pearl 00085500,"Resist Frost, Restore Stamina"
4982,Bee 000a9195,Frost Salts 0003ad5f,Thistle Branch 000134aa,"Resist Frost, Ravage Stamina"
4983,Bee 000a9195,Garlic 00034d22,Large Antlers 0006bc0a,"Fortify Stamina, Restore Stamina"
4984,Bee 000a9195,Garlic 00034d22,Mudcrab Chitin 0006bc00,"Resist Poison, Restore Stamina"
4985,Bee 000a9195,Garlic 00034d22,Salmon RoeHF xx003545,"Restore Stamina, Regenerate Magicka"
4986,Bee 000a9195,Garlic 00034d22,Thistle Branch 000134aa,"Resist Poison, Ravage Stamina"
4987,Bee 000a9195,Garlic 00034d22,Torchbug Thorax 0004da73,"Fortify Stamina, Restore Stamina"
4988,Bee 000a9195,Giant Lichen 0007e8c1,,Weakness to Shock
4989,Bee 000a9195,Giant Lichen 0007e8c1,Grass Pod 00083e64,"Restore Magicka, Weakness to Shock"
4990,Bee 000a9195,Giant Lichen 0007e8c1,Hawk Beak 000e7ebc,"Restore Stamina, Weakness to Shock"
4991,Bee 000a9195,Giant Lichen 0007e8c1,Histcarp 00106e18,"Restore Stamina, Weakness to Shock"
4992,Bee 000a9195,Giant Lichen 0007e8c1,Honeycomb 000b08c5,"Restore Stamina, Ravage Stamina, Weakness to Shock"
4993,Bee 000a9195,Giant Lichen 0007e8c1,Human Flesh 001016b3,"Restore Magicka, Weakness to Shock"
4994,Bee 000a9195,Giant Lichen 0007e8c1,Jazbay Grapes 0006ac4a,"Weakness to Shock, Ravage Health"
4995,Bee 000a9195,Giant Lichen 0007e8c1,Large Antlers 0006bc0a,"Restore Stamina, Weakness to Shock"
4996,Bee 000a9195,Giant Lichen 0007e8c1,Moon Sugar 000d8e3f,"Restore Magicka, Weakness to Shock"
4997,Bee 000a9195,Giant Lichen 0007e8c1,Mora Tapinella 000ec870,"Restore Magicka, Regenerate Stamina, Weakness to Shock"
4998,Bee 000a9195,Giant Lichen 0007e8c1,Mudcrab Chitin 0006bc00,"Restore Stamina, Weakness to Shock"
4999,Bee 000a9195,Giant Lichen 0007e8c1,Netch JellyDB xx01cd72,"Restore Stamina, Weakness to Shock"
5000,Bee 000a9195,Giant Lichen 0007e8c1,Orange Dartwing 000bb956,"Restore Stamina, Weakness to Shock"
5001,Bee 000a9195,Giant Lichen 0007e8c1,Pearl 000854fe,"Restore Magicka, Restore Stamina, Weakness to Shock"
5002,Bee 000a9195,Giant Lichen 0007e8c1,Pine Thrush Egg 00023d6f,"Weakness to Poison, Restore Stamina, Weakness to Shock"
5003,Bee 000a9195,Giant Lichen 0007e8c1,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Weakness to Shock"
5004,Bee 000a9195,Giant Lichen 0007e8c1,Purple Mountain Flower 00077e1e,"Restore Stamina, Weakness to Shock"
5005,Bee 000a9195,Giant Lichen 0007e8c1,Red Mountain Flower 00077e1d,"Restore Magicka, Weakness to Shock"
5006,Bee 000a9195,Giant Lichen 0007e8c1,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Restore Stamina, Weakness to Shock"
5007,Bee 000a9195,Giant Lichen 0007e8c1,Salmon RoeHF xx003545,"Restore Stamina, Weakness to Shock"
5008,Bee 000a9195,Giant Lichen 0007e8c1,Scaly Pholiota 0006f950,"Regenerate Stamina, Weakness to Shock"
5009,Bee 000a9195,Giant Lichen 0007e8c1,ScathecrawDB xx017e97,"Ravage Stamina, Weakness to Shock, Ravage Health"
5010,Bee 000a9195,Giant Lichen 0007e8c1,Silverside Perch 00106e1c,"Restore Stamina, Weakness to Shock, Ravage Health"
5011,Bee 000a9195,Giant Lichen 0007e8c1,Skeever Tail 0003ad6f,"Weakness to Shock, Ravage Health"
5012,Bee 000a9195,Giant Lichen 0007e8c1,Small Antlers 0006bc0b,"Weakness to Poison, Weakness to Shock"
5013,Bee 000a9195,Giant Lichen 0007e8c1,Small Pearl 00085500,"Restore Stamina, Weakness to Shock"
5014,Bee 000a9195,Giant Lichen 0007e8c1,Spawn AshDB xx01cd6d,"Ravage Stamina, Weakness to Shock"
5015,Bee 000a9195,Giant Lichen 0007e8c1,Taproot 0003ad71,"Restore Magicka, Weakness to Shock"
5016,Bee 000a9195,Giant Lichen 0007e8c1,Thistle Branch 000134aa,"Ravage Stamina, Weakness to Shock"
5017,Bee 000a9195,Giant Lichen 0007e8c1,Torchbug Thorax 0004da73,"Restore Stamina, Weakness to Shock"
5018,Bee 000a9195,Giant Lichen 0007e8c1,Vampire Dust 0003ad76,"Restore Magicka, Weakness to Shock"
5019,Bee 000a9195,Giant Lichen 0007e8c1,White Cap 0004da22,"Restore Magicka, Weakness to Shock"
5020,Bee 000a9195,Giant Lichen 0007e8c1,Wisp Wrappings 0006bc0e,"Restore Stamina, Weakness to Shock"
5021,Bee 000a9195,Giant's Toe 0003ad64,Hawk Beak 000e7ebc,"Fortify Carry Weight, Restore Stamina"
5022,Bee 000a9195,Giant's Toe 0003ad64,Histcarp 00106e18,"Restore Stamina, Damage Stamina Regen"
5023,Bee 000a9195,Giant's Toe 0003ad64,Large Antlers 0006bc0a,"Restore Stamina, Damage Stamina Regen"
5024,Bee 000a9195,Giant's Toe 0003ad64,Netch JellyDB xx01cd72,"Fortify Carry Weight, Restore Stamina"
5025,Bee 000a9195,Giant's Toe 0003ad64,Scaly Pholiota 0006f950,"Fortify Carry Weight, Regenerate Stamina"
5026,Bee 000a9195,Giant's Toe 0003ad64,Silverside Perch 00106e1c,"Restore Stamina, Damage Stamina Regen"
5027,Bee 000a9195,Giant's Toe 0003ad64,Trama RootDB xx017008,"Fortify Carry Weight, Weakness to Shock"
5028,Bee 000a9195,Giant's Toe 0003ad64,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Restore Stamina"
5029,Bee 000a9195,GleamblossomDG xx00b097,Netch JellyDB xx01cd72,"Paralysis, Fear, Restore Stamina"
5030,Bee 000a9195,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,"Fear, Restore Stamina"
5031,Bee 000a9195,GleamblossomDG xx00b097,Void Salts 0003ad60,"Weakness to Shock, Resist Magic"
5032,Bee 000a9195,GleamblossomDG xx00b097,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
5033,Bee 000a9195,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,"Weakness to Shock, Damage Magicka"
5034,Bee 000a9195,Glow Dust 0003ad73,Hawk Beak 000e7ebc,"Restore Stamina, Resist Shock"
5035,Bee 000a9195,Glow Dust 0003ad73,Pearl 000854fe,"Restore Stamina, Resist Shock"
5036,Bee 000a9195,Glow Dust 0003ad73,Pine Thrush Egg 00023d6f,"Restore Stamina, Resist Shock"
5037,Bee 000a9195,Glow Dust 0003ad73,Trama RootDB xx017008,"Weakness to Shock, Damage Magicka"
5038,Bee 000a9195,Glow Dust 0003ad73,Wisp Wrappings 0006bc0e,"Restore Stamina, Fortify Destruction"
5039,Bee 000a9195,Glowing Mushroom 0007ee01,Hawk Beak 000e7ebc,"Restore Stamina, Resist Shock"
5040,Bee 000a9195,Glowing Mushroom 0007ee01,Pearl 000854fe,"Restore Stamina, Resist Shock"
5041,Bee 000a9195,Glowing Mushroom 0007ee01,Pine Thrush Egg 00023d6f,"Restore Stamina, Resist Shock"
5042,Bee 000a9195,Glowing Mushroom 0007ee01,Sabre Cat Tooth 0006bc04,"Fortify Smithing, Restore Stamina"
5043,Bee 000a9195,Glowing Mushroom 0007ee01,Wisp Wrappings 0006bc0e,"Restore Stamina, Fortify Destruction"
5044,Bee 000a9195,Grass Pod 00083e64,Mora Tapinella 000ec870,"Restore Magicka, Regenerate Stamina"
5045,Bee 000a9195,Grass Pod 00083e64,Mudcrab Chitin 0006bc00,"Resist Poison, Restore Stamina"
5046,Bee 000a9195,Grass Pod 00083e64,Orange Dartwing 000bb956,"Ravage Magicka, Restore Stamina"
5047,Bee 000a9195,Grass Pod 00083e64,Pearl 000854fe,"Restore Magicka, Restore Stamina"
5048,Bee 000a9195,Grass Pod 00083e64,ScathecrawDB xx017e97,"Ravage Magicka, Ravage Stamina"
5049,Bee 000a9195,Grass Pod 00083e64,Spawn AshDB xx01cd6d,"Ravage Magicka, Ravage Stamina"
5050,Bee 000a9195,Grass Pod 00083e64,Thistle Branch 000134aa,"Resist Poison, Ravage Stamina"
5051,Bee 000a9195,Hagraven Claw 0006b689,Purple Mountain Flower 00077e1e,"Restore Stamina, Lingering Damage Magicka"
5052,Bee 000a9195,Hagraven Claw 0006b689,Spawn AshDB xx01cd6d,"Ravage Stamina, Fortify Enchanting"
5053,Bee 000a9195,Hagraven Claw 0006b689,Torchbug Thorax 0004da73,"Restore Stamina, Lingering Damage Magicka"
5054,Bee 000a9195,Hagraven Claw 0006b689,Void Salts 0003ad60,"Weakness to Shock, Resist Magic"
5055,Bee 000a9195,Hagraven Claw 0006b689,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
5056,Bee 000a9195,Hagraven Feathers 0003ad66,,Weakness to Shock
5057,Bee 000a9195,Hagraven Feathers 0003ad66,Hanging Moss 00057f91,"Weakness to Shock, Damage Magicka"
5058,Bee 000a9195,Hagraven Feathers 0003ad66,Hawk Beak 000e7ebc,"Restore Stamina, Weakness to Shock"
5059,Bee 000a9195,Hagraven Feathers 0003ad66,Histcarp 00106e18,"Restore Stamina, Weakness to Shock"
5060,Bee 000a9195,Hagraven Feathers 0003ad66,Honeycomb 000b08c5,"Restore Stamina, Ravage Stamina, Weakness to Shock"
5061,Bee 000a9195,Hagraven Feathers 0003ad66,Human Heart 000b18cd,"Frenzy, Weakness to Shock, Damage Magicka"
5062,Bee 000a9195,Hagraven Feathers 0003ad66,Large Antlers 0006bc0a,"Restore Stamina, Weakness to Shock"
5063,Bee 000a9195,Hagraven Feathers 0003ad66,Lavender 00045c28,"Weakness to Shock, Fortify Conjuration"
5064,Bee 000a9195,Hagraven Feathers 0003ad66,Luna Moth Wing 000727df,"Weakness to Shock, Damage Magicka"
5065,Bee 000a9195,Hagraven Feathers 0003ad66,Mora Tapinella 000ec870,"Regenerate Stamina, Weakness to Shock"
5066,Bee 000a9195,Hagraven Feathers 0003ad66,Mudcrab Chitin 0006bc00,"Restore Stamina, Weakness to Shock"
5067,Bee 000a9195,Hagraven Feathers 0003ad66,Namira's Rot 0004da24,"Weakness to Shock, Damage Magicka"
5068,Bee 000a9195,Hagraven Feathers 0003ad66,Netch JellyDB xx01cd72,"Restore Stamina, Weakness to Shock"
5069,Bee 000a9195,Hagraven Feathers 0003ad66,Nordic Barnacle 0007edf5,"Weakness to Shock, Damage Magicka"
5070,Bee 000a9195,Hagraven Feathers 0003ad66,Orange Dartwing 000bb956,"Restore Stamina, Weakness to Shock"
5071,Bee 000a9195,Hagraven Feathers 0003ad66,Pearl 000854fe,"Restore Stamina, Weakness to Shock"
5072,Bee 000a9195,Hagraven Feathers 0003ad66,Pine Thrush Egg 00023d6f,"Restore Stamina, Weakness to Shock"
5073,Bee 000a9195,Hagraven Feathers 0003ad66,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Weakness to Shock"
5074,Bee 000a9195,Hagraven Feathers 0003ad66,Purple Mountain Flower 00077e1e,"Restore Stamina, Weakness to Shock"
5075,Bee 000a9195,Hagraven Feathers 0003ad66,Sabre Cat Tooth 0006bc04,"Restore Stamina, Weakness to Shock"
5076,Bee 000a9195,Hagraven Feathers 0003ad66,Salmon RoeHF xx003545,"Restore Stamina, Weakness to Shock"
5077,Bee 000a9195,Hagraven Feathers 0003ad66,Scaly Pholiota 0006f950,"Regenerate Stamina, Weakness to Shock"
5078,Bee 000a9195,Hagraven Feathers 0003ad66,ScathecrawDB xx017e97,"Ravage Stamina, Weakness to Shock"
5079,Bee 000a9195,Hagraven Feathers 0003ad66,Silverside Perch 00106e1c,"Restore Stamina, Weakness to Shock"
5080,Bee 000a9195,Hagraven Feathers 0003ad66,Small Pearl 00085500,"Restore Stamina, Weakness to Shock"
5081,Bee 000a9195,Hagraven Feathers 0003ad66,Spawn AshDB xx01cd6d,"Ravage Stamina, Weakness to Shock"
5082,Bee 000a9195,Hagraven Feathers 0003ad66,Thistle Branch 000134aa,"Ravage Stamina, Weakness to Shock"
5083,Bee 000a9195,Hagraven Feathers 0003ad66,Torchbug Thorax 0004da73,"Restore Stamina, Weakness to Shock"
5084,Bee 000a9195,Hagraven Feathers 0003ad66,Troll Fat 0003ad72,"Frenzy, Weakness to Shock"
5085,Bee 000a9195,Hagraven Feathers 0003ad66,Wisp Wrappings 0006bc0e,"Restore Stamina, Weakness to Shock"
5086,Bee 000a9195,Hanging Moss 00057f91,Small Pearl 00085500,"Restore Stamina, Fortify One-handed"
5087,Bee 000a9195,Hanging Moss 00057f91,Trama RootDB xx017008,"Weakness to Shock, Damage Magicka"
5088,Bee 000a9195,Hawk Beak 000e7ebc,,Restore Stamina
5089,Bee 000a9195,Hawk Beak 000e7ebc,Moon Sugar 000d8e3f,"Resist Frost, Restore Stamina"
5090,Bee 000a9195,Hawk Beak 000e7ebc,Mora Tapinella 000ec870,"Regenerate Stamina, Restore Stamina"
5091,Bee 000a9195,Hawk Beak 000e7ebc,Poison BloomDG xx0185fb,"Fortify Carry Weight, Restore Stamina"
5092,Bee 000a9195,Hawk Beak 000e7ebc,River Betty 00106e1a,"Fortify Carry Weight, Restore Stamina"
5093,Bee 000a9195,Hawk Beak 000e7ebc,Scaly Pholiota 0006f950,"Fortify Carry Weight, Regenerate Stamina, Restore Stamina"
5094,Bee 000a9195,Hawk Beak 000e7ebc,ScathecrawDB xx017e97,"Restore Stamina, Ravage Stamina"
5095,Bee 000a9195,Hawk Beak 000e7ebc,Slaughterfish Scales 0003ad70,"Resist Frost, Restore Stamina"
5096,Bee 000a9195,Hawk Beak 000e7ebc,Snowberries 0001b3bd,"Resist Frost, Restore Stamina, Resist Shock"
5097,Bee 000a9195,Hawk Beak 000e7ebc,Spawn AshDB xx01cd6d,"Restore Stamina, Ravage Stamina"
5098,Bee 000a9195,Hawk Beak 000e7ebc,Swamp Fungal Pod 0007e8b7,"Restore Stamina, Resist Shock"
5099,Bee 000a9195,Hawk Beak 000e7ebc,Thistle Branch 000134aa,"Resist Frost, Restore Stamina, Ravage Stamina"
5100,Bee 000a9195,Hawk Beak 000e7ebc,Trama RootDB xx017008,"Fortify Carry Weight, Restore Stamina, Weakness to Shock"
5101,Bee 000a9195,Hawk Beak 000e7ebc,Void Salts 0003ad60,"Restore Stamina, Weakness to Shock"
5102,Bee 000a9195,Hawk Feathers 000e7ed0,Honeycomb 000b08c5,"Restore Stamina, Ravage Stamina, Fortify Light Armor"
5103,Bee 000a9195,Hawk Feathers 000e7ed0,Mudcrab Chitin 0006bc00,"Restore Stamina, Cure Disease"
5104,Bee 000a9195,Hawk Feathers 000e7ed0,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Fortify Sneak"
5105,Bee 000a9195,Hawk Feathers 000e7ed0,Purple Mountain Flower 00077e1e,"Restore Stamina, Fortify Sneak"
5106,Bee 000a9195,Hawk Feathers 000e7ed0,Small Pearl 00085500,"Restore Stamina, Fortify One-handed"
5107,Bee 000a9195,Hawk's EggHF xx00f1cc,Histcarp 00106e18,"Restore Stamina, Waterbreathing"
5108,Bee 000a9195,Hawk's EggHF xx00f1cc,Salmon RoeHF xx003545,"Restore Stamina, Waterbreathing"
5109,Bee 000a9195,Hawk's EggHF xx00f1cc,Void Salts 0003ad60,"Weakness to Shock, Resist Magic"
5110,Bee 000a9195,Hawk's EggHF xx00f1cc,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
5111,Bee 000a9195,Histcarp 00106e18,,Restore Stamina
5112,Bee 000a9195,Histcarp 00106e18,Jazbay Grapes 0006ac4a,"Restore Stamina, Fortify Magicka"
5113,Bee 000a9195,Histcarp 00106e18,Juniper Berries 0005076e,"Restore Stamina, Damage Stamina Regen"
5114,Bee 000a9195,Histcarp 00106e18,Mora Tapinella 000ec870,"Regenerate Stamina, Restore Stamina"
5115,Bee 000a9195,Histcarp 00106e18,Nordic Barnacle 0007edf5,"Restore Stamina, Waterbreathing"
5116,Bee 000a9195,Histcarp 00106e18,Red Mountain Flower 00077e1d,"Restore Stamina, Fortify Magicka"
5117,Bee 000a9195,Histcarp 00106e18,Scaly Pholiota 0006f950,"Regenerate Stamina, Restore Stamina"
